"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","third2$VORP","Tm.y","Index","Image"
"356","Kirk Hinrich","PG","35","TOT","1.1","2.8","0.38","0.5","1.3","0.387","0.5","1.5","0.373","0.473","0.3","0.3","0.938","0.2","1.3","1.5","1.6","0.3","0","0.7","1.4","3","0.504","0.481","0.124","1.4","10.2","5.9","16","1.2","0.2","18.1","11.6","2016","Sharpshooters",-0.3,"TOT","hinriki01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hinriki01.jpg"
"357","Kirk Hinrich","PG","35","TOT","1.1","2.8","0.38","0.5","1.3","0.387","0.5","1.5","0.373","0.473","0.3","0.3","0.938","0.2","1.3","1.5","1.6","0.3","0","0.7","1.4","3","0.504","0.481","0.124","1.4","10.2","5.9","16","1.2","0.2","18.1","11.6","2016","Sharpshooters",-0.3,"ATL","hinriki01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hinriki01.jpg"
"358","Kirk Hinrich","PG","35","CHI","1.3","3.4","0.398","0.7","1.6","0.411","0.7","1.8","0.387","0.496","0.4","0.5","0.938","0.2","1.5","1.7","1.7","0.4","0","0.8","1.8","3.8","0.528","0.475","0.136","1.4","9.5","5.5","15","1.2","0.1","17.8","12","2016","Sharpshooters",-0.2,"CHI","hinriki01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hinriki01.jpg"
"359","Kirk Hinrich","PG","35","CHI","1.3","3.4","0.398","0.7","1.6","0.411","0.7","1.8","0.387","0.496","0.4","0.5","0.938","0.2","1.5","1.7","1.7","0.4","0","0.8","1.8","3.8","0.528","0.475","0.136","1.4","9.5","5.5","15","1.2","0.1","17.8","12","2016","Sharpshooters",-0.2,"TOT","hinriki01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hinriki01.jpg"
"360","Kirk Hinrich","PG","35","CHI","1.3","3.4","0.398","0.7","1.6","0.411","0.7","1.8","0.387","0.496","0.4","0.5","0.938","0.2","1.5","1.7","1.7","0.4","0","0.8","1.8","3.8","0.528","0.475","0.136","1.4","9.5","5.5","15","1.2","0.1","17.8","12","2016","Sharpshooters",-0.2,"ATL","hinriki01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hinriki01.jpg"
"361","Klay Thompson","SG","25","GSW","8.1","17.3","0.47","3.5","8.1","0.425","4.7","9.2","0.51","0.569","2.4","2.8","0.873","0.4","3.4","3.8","2.1","0.8","0.6","1.7","1.9","22.1","0.597","0.469","0.159","1.5","10.3","6.2","9.8","1.1","1.4","8.5","26.3","2016","Wing Scorers",1.8,"GSW","thompkl01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/thompkl01.jpg"
"362","Kobe Bryant","SF","37","LAL","6","16.9","0.358","2","7.1","0.285","4","9.8","0.41","0.417","3.5","4.3","0.826","0.6","3.1","3.7","2.8","0.9","0.2","2","1.7","17.6","0.469","0.42","0.252","2.3","12.3","7.1","19.1","1.7","0.5","9.4","32.2","2016","Ball Handlers",-0.2,"LAL","bryanko01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bryanko01.jpg"
"363","Kosta Koufos","C","26","SAC","3","5.7","0.532","0","0","0","3","5.7","0.532","0.532","0.7","1.3","0.548","2.2","3.3","5.4","0.4","0.5","0.9","0.6","2.4","6.8","0.54","0","0.234","12.4","18.4","15.4","3.3","1.3","3.8","8.9","15.4","2016","Bruiser Big Men",0.3,"SAC","koufoko01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/koufoko01.jpg"
"364","Kris Humphries","PF","30","TOT","2.3","5.6","0.41","0.6","2","0.315","1.6","3.5","0.465","0.468","1.3","1.6","0.798","1.1","3","4.1","0.7","0.3","0.4","0.7","1.8","6.5","0.517","0.366","0.285","7.5","21.5","14.4","6.6","0.9","2.2","10.3","19.5","2016","Sharpshooters",-0.2,"TOT","humphkr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/humphkr01.jpg"
"365","Kris Humphries","PF","30","TOT","2.3","5.6","0.41","0.6","2","0.315","1.6","3.5","0.465","0.468","1.3","1.6","0.798","1.1","3","4.1","0.7","0.3","0.4","0.7","1.8","6.5","0.517","0.366","0.285","7.5","21.5","14.4","6.6","0.9","2.2","10.3","19.5","2016","Sharpshooters",-0.2,"ATL","humphkr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/humphkr01.jpg"
"366","Kris Humphries","PF","30","TOT","2.3","5.6","0.41","0.6","2","0.315","1.6","3.5","0.465","0.468","1.3","1.6","0.798","1.1","3","4.1","0.7","0.3","0.4","0.7","1.8","6.5","0.517","0.366","0.285","7.5","21.5","14.4","6.6","0.9","2.2","10.3","19.5","2016","Sharpshooters",-0.2,"WAS","humphkr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/humphkr01.jpg"
"367","Kris Humphries","PF","30","TOT","2.3","5.6","0.41","0.6","2","0.315","1.6","3.5","0.465","0.468","1.3","1.6","0.798","1.1","3","4.1","0.7","0.3","0.4","0.7","1.8","6.5","0.517","0.366","0.285","7.5","21.5","14.4","6.6","0.9","2.2","10.3","19.5","2016","Sharpshooters",-0.2,"PHO","humphkr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/humphkr01.jpg"
"368","Kris Humphries","PF","30","WAS","2.3","5.6","0.405","0.8","2.4","0.343","1.5","3.3","0.451","0.478","1","1.1","0.935","0.9","3.2","4.1","0.6","0.1","0.5","0.7","1.5","6.4","0.524","0.424","0.196","6.1","21.8","13.8","5","0.3","2.4","10.4","18","2016","Sharpshooters",-0.2,"TOT","humphkr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/humphkr01.jpg"
"369","Kris Humphries","PF","30","WAS","2.3","5.6","0.405","0.8","2.4","0.343","1.5","3.3","0.451","0.478","1","1.1","0.935","0.9","3.2","4.1","0.6","0.1","0.5","0.7","1.5","6.4","0.524","0.424","0.196","6.1","21.8","13.8","5","0.3","2.4","10.4","18","2016","Sharpshooters",-0.2,"ATL","humphkr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/humphkr01.jpg"
"370","Kris Humphries","PF","30","WAS","2.3","5.6","0.405","0.8","2.4","0.343","1.5","3.3","0.451","0.478","1","1.1","0.935","0.9","3.2","4.1","0.6","0.1","0.5","0.7","1.5","6.4","0.524","0.424","0.196","6.1","21.8","13.8","5","0.3","2.4","10.4","18","2016","Sharpshooters",-0.2,"WAS","humphkr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/humphkr01.jpg"
