"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","second2$VORP","Tm.y","Index","Image"
"568","Tony Smith","SG","27","TOT","2","4.6","0.423","0.6","2","0.328","1.3","2.7","0.494","0.493","0.5","0.8","0.609","0.5","1.1","1.6","2.6","0.6","0.2","1.1","1.8","5.1","0.506","0.423","0.168","3.8","7.9","5.9","25.6","2.1","0.8","18.3","17.2","1996","Wing Scorers",0.1,"PHO","smithto02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/smithto02.jpg"
"569","Tony Smith","SG","27","MIA","1.8","4","0.455","0.5","1.6","0.333","1.3","2.5","0.532","0.52","0.2","0.4","0.444","0.2","1.3","1.6","2.7","0.6","0.2","1","1.8","4.4","0.519","0.386","0.089","1.7","9.2","5.5","26.7","2.1","1","19.9","14.5","1996","Wing Scorers",0,"MIA","smithto02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/smithto02.jpg"
"570","Tony Smith","SG","27","MIA","1.8","4","0.455","0.5","1.6","0.333","1.3","2.5","0.532","0.52","0.2","0.4","0.444","0.2","1.3","1.6","2.7","0.6","0.2","1","1.8","4.4","0.519","0.386","0.089","1.7","9.2","5.5","26.7","2.1","1","19.9","14.5","1996","Wing Scorers",0,"TOT","smithto02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/smithto02.jpg"
"571","Tony Smith","SG","27","MIA","1.8","4","0.455","0.5","1.6","0.333","1.3","2.5","0.532","0.52","0.2","0.4","0.444","0.2","1.3","1.6","2.7","0.6","0.2","1","1.8","4.4","0.519","0.386","0.089","1.7","9.2","5.5","26.7","2.1","1","19.9","14.5","1996","Wing Scorers",0,"PHO","smithto02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/smithto02.jpg"
"572","Tony Smith","SG","27","PHO","2.1","5.1","0.405","0.7","2.3","0.325","1.3","2.8","0.469","0.477","0.7","1.1","0.649","0.7","0.9","1.6","2.5","0.6","0.1","1.2","1.8","5.6","0.499","0.445","0.214","5.3","6.9","6.1","24.7","2","0.7","17.4","19.3","1996","Wing Scorers",0,"MIA","smithto02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/smithto02.jpg"
"573","Tony Smith","SG","27","PHO","2.1","5.1","0.405","0.7","2.3","0.325","1.3","2.8","0.469","0.477","0.7","1.1","0.649","0.7","0.9","1.6","2.5","0.6","0.1","1.2","1.8","5.6","0.499","0.445","0.214","5.3","6.9","6.1","24.7","2","0.7","17.4","19.3","1996","Wing Scorers",0,"TOT","smithto02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/smithto02.jpg"
"574","Tony Smith","SG","27","PHO","2.1","5.1","0.405","0.7","2.3","0.325","1.3","2.8","0.469","0.477","0.7","1.1","0.649","0.7","0.9","1.6","2.5","0.6","0.1","1.2","1.8","5.6","0.499","0.445","0.214","5.3","6.9","6.1","24.7","2","0.7","17.4","19.3","1996","Wing Scorers",0,"PHO","smithto02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/smithto02.jpg"
"575","Tracy Moore","SG","30","HOU","3.8","9.5","0.395","1.6","3.8","0.433","2.1","5.8","0.37","0.48","2.3","2.4","0.947","1.3","1.5","2.8","0.8","0.3","0","1","2","11.4","0.539","0.395","0.25","6.1","7","6.6","5.1","0.5","0","8.7","21.9","1996","Swingmen",-0.1,"HOU","mooretr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/mooretr01.jpg"
"576","Tracy Murray","SF","24","TOR","6","13.3","0.454","1.8","4.4","0.422","4.2","9","0.47","0.523","2.2","2.7","0.831","1.4","2.9","4.3","1.6","1.1","0.5","1.6","2.5","16.2","0.557","0.328","0.201","5.5","11.6","8.5","9.3","1.8","1.2","10","23.7","1996","Swingmen",0.7,"TOR","murratr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/murratr01.jpg"
"577","Trevor Ruffin","PG","25","PHI","4.3","10.6","0.406","1.7","4.7","0.366","2.6","6","0.437","0.486","2.4","3","0.813","0.3","1.8","2.2","4.4","0.7","0","2.4","2.2","12.8","0.534","0.438","0.281","1.5","8.5","4.9","32.2","1.4","0.1","17","25.3","1996","Swingmen",-0.3,"PHI","ruffitr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ruffitr01.jpg"
